process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
12.946,7.493,7.733,39.936,0
15.011,5.398,2.9,42.964,0
15.177,5.65,2.968,36.489,0
14.589,4.423,2.208,38.761,0
16.269,12.115,5.265,34.668,0
16.487,4.937,2.545,50.597,0
18.351,9.373,5.604,35.142,0
13.528,5.913,2.885,54.106,0
17.169,5.157,4.737,52.742,0
13.212,7.251,2.222,48.939,0
16.674,8.027,5.192,39.988,0
9.88,7.069,3.649,46.34,0
19.352,5.292,3.097,38.119,0
4.819,2.892,1.392,40.012,0
8.027,3.148,1.484,16.126,0
14.969,6.498,2.8,16.171,0
13.469,7.967,4.357,31.134,0
12.922,5.278,3.088,37.794,0
15.121,4.711,2.73,30.766,0
7.984,5.33,2.228,33.605,0
15.865,4.585,2.55,27.982,0
9.596,6.749,2.297,29.517,0
9.075,6.983,3.064,24.24,0
11.172,4.629,2.795,25.301,0
12.926,6.5,3.727,25.943,0
37.6,7.815,2.864,31.01,0
40.788,6.449,5.93,54.744,0
15.138,6.388,3.503,80.845,0
18.157,6.044,3.319,44.879,0
15.106,6.176,6.32,38.098,0
11.757,5.461,9.672,39.188,0
13.755,5.062,4.185,43.708,0
15.638,5.713,3.948,40.573,0
20.057,7.945,4.058,46.61,0
17.298,8.678,3.114,50.75,0
15.887,5.94,8.093,39.133,0
13.14,6.633,3.88,48.604,0
12.395,8.657,5.273,37.98,0
15.157,8.564,7.032,38.962,0
15.481,5.075,5.833,50.881,0
22.305,5.1,5.505,42.953,0
13.61,5.575,3.857,48.164,0
10.17,7.043,3.373,35.72,0
13.916,7.409,8.137,29.161,0
23.255,4.819,5.26,40.473,0
23.095,6.544,6.653,51.989,0
14.797,5.15,3.41,60.534,0
10.838,5.568,7.986,46.6,0
18.795,4.592,2.868,47.414,0
8.966,5.37,3.883,39.376,0
11.523,5.334,2.52,34.646,0
13.818,5.362,3.468,30.047,0
10.753,5.209,5.304,30.546,0
12.27,4.668,3.59,30.699,0
10.278,5.517,3.127,27.481,0
10.831,6.61,2.728,24.248,0
14.489,5.863,4.068,26.673,0
32.556,5.43,5.798,32.006,0
26.898,14.776,6.391,52.523,0
45.567,23.255,12.797,57.134,0
25.545,12.251,5.796,97.339,0
15.764,4.814,3.43,86.691,0
11.501,5.621,8.838,38.609,0
19.777,7.067,3.269,39.436,0
14.012,7.723,4.318,38.444,0
14.411,5.122,3.327,39.294,0
18.17,6.056,4.779,36.049,0
22.201,9.409,5.325,40.513,0
13.845,5.367,3.613,54.532,0
9.399,7.394,3.81,37.787,0
17.595,4.687,4.03,40.47,0
14.008,6.551,4.002,40.085,0
24.808,8.078,10.744,38.884,0
13.733,5.723,3.418,60.704,0
12.959,6.33,7.597,43.531,0
14.392,4.773,2.898,43.243,0
22.978,5.894,3.032,40.787,0
5.844,2.949,1.315,43.793,0
5.942,3.011,1.424,20.724,0
16.691,5.919,2.809,13.708,0
11.611,5.714,2.792,32.634,0
15.364,7.867,4.532,27.014,0
18.8,4.607,3.046,37.113,0
12.889,5.78,2.95,37.85,0
17.762,5.516,2.941,32.7,0
20.9,4.844,2.354,40.347,0
14.557,7.395,4.848,42.504,0
12.37,5.301,3.263,45.96,0
16.269,6.867,4.398,44.655,0
17.194,6.148,3.387,44.984,0
20.014,5.582,3.346,42.168,0
15.37,5.697,6.637,46.266,0
20.694,5.525,3.68,44.852,0
17.899,8.509,4.046,39.646,0
26.934,5.129,2.552,40.836,0
15.989,5.623,3.278,44.883,0
21.328,4.613,8.401,43.9,0
17.794,8.282,5.41,51.115,0
16.593,5.001,4.694,47.196,0
19.032,5.362,6.827,38.063,0
16.344,4.714,4.834,45.444,0
17.735,5.482,8.436,45.331,0
20.12,4.927,3.103,50.455,0
15.512,4.813,4.089,49.994,0
25.83,4.421,5.158,52.449,0
15.704,5.633,5.63,62.5,0
20.208,5.57,5.109,52.673,0
14.981,5.409,4.636,44.001,0
17.492,5.09,4.123,48.05,0
11.936,7.945,7.53,40.16,0
20.724,4.356,5.037,41.917,0
16.548,5.413,4.623,44.518,0
19.955,4.717,4.419,48.255,0
14.605,5.606,8.862,42.544,0
20.198,6.714,4.239,44.631,0
19.387,7.729,6.024,41.646,0
21.86,4.673,5.109,50.768,0
14.274,6.391,4.297,42.044,0
14.983,4.85,5.645,38.179,0
15.74,7.554,5.955,44.498,0
22.182,4.491,6.852,46.286,0
19.887,4.641,3.564,55.797,0
20.548,5.543,4.66,40.423,0
16.941,4.777,4.905,44.54,0
19.16,4.967,4.094,45.504,0
22.109,11.207,5.459,49.915,1
12.202,5.203,5.327,73.375,0
19.751,5.46,5.23,39.28,0
16.203,7.276,9.866,40.992,0
10.104,5.497,4.713,53.955,0
10.454,5.988,7.422,35.817,0
18.526,6.305,6.8,50.048,0
13.669,5.266,5.143,58.491,0
16.982,6.436,8.69,52.484,0
12.181,12.87,7.023,68.098,0
18.555,6.026,5.099,45.342,0
18.652,6.568,10.048,58.736,0
17.544,4.873,7.1,54.9,0
7.837,4.531,4.22,49.898,0
4.735,2.812,2.079,27.666,0
7.299,5.333,6.683,13.374,0
17.041,8.168,4.8,26.5,1
16.248,7.316,11.393,41.003,0
12.523,5.073,6.403,56.456,0
12.403,5.593,11.007,36.623,0
11.565,5.336,4.693,46.425,0
14.756,5.273,5.744,34.173,0
13.891,7.257,7.279,38.36,0
17.486,4.771,6.435,46.057,0
12.048,7.143,6.599,39.663,0
18.693,4.986,5.772,40.421,0
18.647,4.782,5.702,40.327,1
18.021,5.746,5.936,43.291,0
20.432,4.759,3.696,49.751,0
18.298,4.99,4.817,56.083,0
20.169,7.71,10.632,53.918,1
9.75,5.432,5.685,64.207,0
9.853,7.18,10.257,32.861,0
9.839,6.439,6.543,46.668,0
13.921,4.739,7.871,39.323,0
15.478,6.033,7.388,42.811,0
15.218,7.511,14.546,45.178,0
12.203,5.7,6.864,58.943,0
15.333,5.78,3.806,46.636,0
15.499,7.127,9.032,34.956,0
14.181,8.039,11.239,44.009,0
15.764,7.463,7.205,58.178,0
11.417,5.882,5.153,55.586,0
15.306,9.189,6.544,36.384,0
21.252,6.154,9.632,48.562,0
18.173,4.951,5.831,50.914,0
12.815,5.052,8.94,53.511,0
13.958,4.661,5.39,45.351,0
16.626,7.854,4.8,40.967,0
11.528,6.719,17.459,40.779,0
21.13,8.484,8.677,53.219,0
13.632,6.119,5.56,56.996,0
17.69,7.778,6.597,48.044,0
25.864,4.536,4.619,44.025,0
20.678,6.574,8.703,49.545,0
21.483,7.12,4.708,49.041,0
23.224,7.035,8.384,53.977,0
20.337,6.501,8.555,50.292,0
18.322,6.919,9.558,49.181,0
19.486,4.889,4.06,45.354,0
21.036,7.864,5.515,37.465,0
13.848,5.666,11.614,43.365,0
17.305,5.26,7.299,46.974,0
13.651,5.799,8.587,44.826,0
17.491,6.685,6.538,49.733,0
16.81,4.96,4.598,48.068,0
13.847,5.513,5.19,50.331,0
14.939,6.692,4.618,35.856,0
11.014,5.949,7.858,43.125,0
15.321,7.43,10.699,43.059,0
18.147,4.547,5.071,44.047,0
13.706,7.566,8.906,40.964,0
18.561,6.448,6.083,42.701,0
23.246,4.952,4.326,47.303,0
18.798,6.406,6.855,50.342,0
8.563,3.228,2.68,60.367,0
6.964,3.105,2.16,31.842,0
7.244,2.806,5.115,16.129,0
16.727,5.556,4.975,22.095,0
19.162,5.404,4.29,33.534,0
17.366,6.75,4.128,40.326,0
13.808,6.852,5.846,42.015,0
15.262,5.107,3.232,43.69,0
12.821,5.817,7.71,38.167,0
10.665,8.563,4.376,45.179,0
14.834,5.953,3.784,38.061,0
16.012,7.86,4.698,37.161,0
12.714,7.648,5.43,41.735,0
12.954,6.244,5.705,39.623,0
15.176,5.826,3.552,39.16,0
16.26,6.358,5.021,43.205,0
13.547,6.54,3.371,47.485,0
16.083,5.455,4.038,43.503,0
19.098,5.014,3.604,36.45,0
18.188,4.879,3.81,38.173,0
13.429,4.77,4.116,44.603,0
14.457,7.449,5.937,43.149,0
20.833,4.906,2.82,41.35,0
11.918,6.471,5.499,43.074,0
18.557,6.846,7.01,41.412,0
14.956,5.02,3.453,47.024,0
18.065,11.256,2.988,39.87,0
13.742,5.329,3.726,56.027,0
34.036,4.877,4.116,38.172,0
22.738,5.292,3.94,60.678,0
14.7,4.858,7.973,44.305,0
19.615,7.05,7.544,40.437,0
14.225,11.108,5.815,45.219,0
10.664,9.453,2.967,52.217,0
12.012,6.312,4.424,41.159,0
13.295,5.063,2.305,45.545,0
19.916,6.618,7.109,39.279,0
11.191,6.884,3.286,48.079,0
15.587,6.556,4.238,37.6,0
12.907,6.85,4.833,40.9,0
12.119,7.136,3.504,38.896,0
11.966,5.68,4.67,39.193,0
16.138,4.876,5.879,38.345,0
17.76,5.184,2.452,41.756,0
15.968,7.051,4.254,41.551,0
13.222,8.299,8.71,41.804,0
10.922,5.258,3.532,44.634,0
29.291,5.409,5.744,37.59,0
7.918,8.435,3.015,60.126,0
11.323,5.69,2.899,43.812,0
12.116,5.207,3.419,37.677,0
21.006,9.477,2.904,34.415,0
10.017,5.547,6.368,43.478,0
11.409,6.222,4.174,36.802,0
16.385,4.548,3.911,29.83,0
11.068,6.367,3.686,36.208,0
9.636,6.112,3.598,31.797,0
20.423,5.445,3.569,36.234,0
11.814,6.21,4.508,68.951,0
15.402,6.243,3.743,37.124,0
10.746,6.235,3.87,34.92,0
10.83,5.441,4.294,31.869,0
13.605,5.974,5.906,30.487,0
21.972,5.437,4.708,33.671,0
11.711,6.169,5.454,44.828,0
13.893,4.911,4.864,51.183,0
13.742,9.501,3.97,47.019,0
20.781,6.992,4.846,42.746,0
13.147,7.088,5.448,44.407,0
12.534,6.147,6.775,43.421,0
13.423,7.985,6.894,44.669,0
19.521,4.797,2.395,43.105,0
16.438,5.956,3.889,34.904,0
14.807,7.345,3.343,36.629,0
13.938,5.714,3.052,36.824,0
29.695,5.234,2.706,34.798,0
15.091,5.534,3.926,51.116,0
14.798,9.808,6.76,48.721,0
20.523,6.965,4.279,49.11,0
16.039,5.807,5.496,50.688,0
16.739,5.428,3.541,49.932,0
13.676,7.984,3.877,48.735,0
12.672,4.983,3.056,43.008,0
17.527,4.655,3.113,36.159,0
17.443,4.462,3.152,37.885,0
13.903,6.533,4.619,36.778,0
14.723,5.222,2.575,37.38,0
10.088,5.805,3.32,37.882,0
9.914,5.829,6.493,31.929,0
9.26,4.785,3.021,39.851,0
11.44,5.863,3.331,30.101,0
9.69,5.125,3.721,31.5,0
11.19,8.371,5.314,38.324,0
18.013,8.463,4.142,38.943,0
