process_data,angle_calc,draw,full_loop,arduino_signal
12.326,5.713,26.745,44.784,0.000
9.721,5.309,27.036,42.066,0.000
8.781,5.425,26.913,41.119,0.000
10.889,4.838,26.697,42.423,0.000
9.481,7.462,26.351,43.294,0.000
9.363,6.232,27.383,42.978,0.000
11.141,5.126,26.242,42.509,0.000
11.670,5.455,26.171,43.296,0.000
8.866,5.387,26.324,40.577,0.000
7.468,5.068,26.759,39.294,0.000
11.036,4.675,26.781,42.492,0.000
9.114,6.498,26.212,41.824,0.000
8.435,4.884,26.716,40.035,0.000
12.073,5.661,27.670,45.404,0.000
8.624,6.323,26.628,41.576,0.000
8.925,5.651,26.257,40.833,0.000
10.816,5.082,27.716,43.615,0.000
11.633,4.728,26.490,42.851,0.000
8.104,5.464,26.753,40.321,0.000
8.783,5.021,26.561,40.365,0.000
8.495,6.416,26.522,41.432,0.000
8.238,6.058,26.249,40.545,0.000
10.185,5.090,26.435,41.711,0.000
10.670,6.226,26.580,43.476,0.000
8.721,6.835,26.611,42.166,0.000
19.026,9.358,26.051,54.434,0.000
8.284,6.586,26.978,41.847,0.000
9.183,6.428,30.279,45.891,0.000
13.713,5.639,27.439,46.791,0.000
13.650,5.710,27.731,47.091,0.000
